week_start,sku_code,territory_code,units,value_inr
2025-07-01,BS-0101,T-N1,664,18512.32
2025-07-08,BS-0101,T-N1,739,20603.32
2025-07-15,BS-0101,T-N1,696,19404.48
2025-07-22,BS-0101,T-N1,681,18986.28
2025-07-29,BS-0101,T-N1,781,21774.28
2025-08-05,BS-0101,T-N1,705,19655.4
2025-08-12,BS-0101,T-N1,731,20380.28
2025-08-19,BS-0101,T-N1,747,20826.36
2025-08-26,BS-0101,T-N1,874,24367.12
2025-09-02,BS-0101,T-N1,753,20993.64
2025-09-09,BS-0101,T-N1,782,21802.16
2025-09-16,BS-0101,T-N1,872,24311.36
2025-09-23,BS-0101,T-N1,767,21383.96
2025-09-30,BS-0101,T-N1,638,17787.44
2025-10-07,BS-0101,T-N1,739,20603.32
2025-10-14,BS-0101,T-N1,897,25008.36
2025-10-21,BS-0101,T-N1,964,26876.32
2025-10-28,BS-0101,T-N1,962,26820.56
2025-11-04,BS-0101,T-N1,886,24701.68
2025-11-11,BS-0101,T-N1,842,23474.96
2025-11-18,BS-0101,T-N1,1000,27880.0
2025-11-25,BS-0101,T-N1,889,24785.32
2025-12-02,BS-0101,T-N1,880,24534.4
2025-12-09,BS-0101,T-N1,868,24199.84
2025-12-16,BS-0101,T-N1,785,21885.8
2025-12-23,BS-0101,T-N1,759,21160.92
2025-12-30,BS-0101,T-N1,743,20714.84
2026-01-06,BS-0101,T-N1,815,22722.2
2026-01-13,BS-0101,T-N1,819,22833.72
2026-01-20,BS-0101,T-N1,688,19181.44
2026-01-27,BS-0101,T-N1,800,22304.0
2026-02-03,BS-0101,T-N1,816,22750.08
2026-02-10,BS-0101,T-N1,703,19599.64
2026-02-17,BS-0101,T-N1,703,19599.64
2026-02-24,BS-0101,T-N1,715,19934.2
2026-03-03,BS-0101,T-N1,870,24255.6
2026-03-10,BS-0101,T-N1,722,20129.36
2026-03-17,BS-0101,T-N1,664,18512.32
2026-03-24,BS-0101,T-N1,877,24450.76
2026-03-31,BS-0101,T-N1,708,19739.04
2026-04-07,BS-0101,T-N1,700,19516.0
2026-04-14,BS-0101,T-N1,802,22359.76
2026-04-21,BS-0101,T-N1,763,21272.44
2026-04-28,BS-0101,T-N1,760,21188.8
2026-05-05,BS-0101,T-N1,702,19571.76
2026-05-12,BS-0101,T-N1,695,19376.6
2026-05-19,BS-0101,T-N1,724,20185.12
2026-05-26,BS-0101,T-N1,712,19850.56
2026-06-02,BS-0101,T-N1,853,23781.64
2026-06-09,BS-0101,T-N1,817,22777.96
2026-06-16,BS-0101,T-N1,679,18930.52
2026-06-23,BS-0101,T-N1,893,24896.84
2025-07-01,BS-0101,T-N2,827,23056.76
2025-07-08,BS-0101,T-N2,1031,28744.28
2025-07-15,BS-0101,T-N2,899,25064.12
2025-07-22,BS-0101,T-N2,816,22750.08
2025-07-29,BS-0101,T-N2,1032,28772.16
2025-08-05,BS-0101,T-N2,1072,29887.36
2025-08-12,BS-0101,T-N2,969,27015.72
2025-08-19,BS-0101,T-N2,952,26541.76
2025-08-26,BS-0101,T-N2,861,24004.68
2025-09-02,BS-0101,T-N2,944,26318.72
2025-09-09,BS-0101,T-N2,1092,30444.96
2025-09-16,BS-0101,T-N2,1130,31504.4
2025-09-23,BS-0101,T-N2,1113,31030.44
2025-09-30,BS-0101,T-N2,882,24590.16
2025-10-07,BS-0101,T-N2,972,27099.36
2025-10-14,BS-0101,T-N2,954,26597.52
2025-10-21,BS-0101,T-N2,1085,30249.8
2025-10-28,BS-0101,T-N2,1252,34905.76
2025-11-04,BS-0101,T-N2,1059,29524.92
2025-11-11,BS-0101,T-N2,1067,29747.96
2025-11-18,BS-0101,T-N2,1077,30026.76
2025-11-25,BS-0101,T-N2,1292,36020.96
2025-12-02,BS-0101,T-N2,952,26541.76
2025-12-09,BS-0101,T-N2,876,24422.88
2025-12-16,BS-0101,T-N2,1006,28047.28
2025-12-23,BS-0101,T-N2,968,26987.84
2025-12-30,BS-0101,T-N2,812,22638.56
2026-01-06,BS-0101,T-N2,1013,28242.44
2026-01-13,BS-0101,T-N2,886,24701.68
2026-01-20,BS-0101,T-N2,1052,29329.76
2026-01-27,BS-0101,T-N2,826,23028.88
2026-02-03,BS-0101,T-N2,942,26262.96
2026-02-10,BS-0101,T-N2,841,23447.08
2026-02-17,BS-0101,T-N2,1029,28688.52
2026-02-24,BS-0101,T-N2,909,25342.92
2026-03-03,BS-0101,T-N2,1093,30472.84
2026-03-10,BS-0101,T-N2,969,27015.72
2026-03-17,BS-0101,T-N2,1024,28549.12
2026-03-24,BS-0101,T-N2,1062,29608.56
2026-03-31,BS-0101,T-N2,911,25398.68
2026-04-07,BS-0101,T-N2,893,24896.84
2026-04-14,BS-0101,T-N2,875,24395.0
2026-04-21,BS-0101,T-N2,876,24422.88
2026-04-28,BS-0101,T-N2,1017,28353.96
2026-05-05,BS-0101,T-N2,842,23474.96
2026-05-12,BS-0101,T-N2,1085,30249.8
2026-05-19,BS-0101,T-N2,853,23781.64
2026-05-26,BS-0101,T-N2,1060,29552.8
2026-06-02,BS-0101,T-N2,392,10928.96
2026-06-09,BS-0101,T-N2,1042,29050.96
2026-06-16,BS-0101,T-N2,1125,31365.0
2026-06-23,BS-0101,T-N2,1069,29803.72
2025-07-01,BS-0101,T-N3,756,21077.28
2025-07-08,BS-0101,T-N3,657,18317.16
2025-07-15,BS-0101,T-N3,690,19237.2
2025-07-22,BS-0101,T-N3,753,20993.64
2025-07-29,BS-0101,T-N3,626,17452.88
2025-08-05,BS-0101,T-N3,827,23056.76
2025-08-12,BS-0101,T-N3,820,22861.6
2025-08-19,BS-0101,T-N3,680,18958.4
2025-08-26,BS-0101,T-N3,779,21718.52
2025-09-02,BS-0101,T-N3,708,19739.04
2025-09-09,BS-0101,T-N3,832,23196.16
2025-09-16,BS-0101,T-N3,828,23084.64
2025-09-23,BS-0101,T-N3,834,23251.92
2025-09-30,BS-0101,T-N3,775,21607.0
2025-10-07,BS-0101,T-N3,741,20659.08
2025-10-14,BS-0101,T-N3,727,20268.76
2025-10-21,BS-0101,T-N3,873,24339.24
2025-10-28,BS-0101,T-N3,823,22945.24
2025-11-04,BS-0101,T-N3,954,26597.52
2025-11-11,BS-0101,T-N3,849,23670.12
2025-11-18,BS-0101,T-N3,927,25844.76
2025-11-25,BS-0101,T-N3,890,24813.2
2025-12-02,BS-0101,T-N3,665,18540.2
2025-12-09,BS-0101,T-N3,756,21077.28
2025-12-16,BS-0101,T-N3,828,23084.64
2025-12-23,BS-0101,T-N3,893,24896.84
2025-12-30,BS-0101,T-N3,779,21718.52
2026-01-06,BS-0101,T-N3,619,17257.72
2026-01-13,BS-0101,T-N3,619,17257.72
2026-01-20,BS-0101,T-N3,769,21439.72
2026-01-27,BS-0101,T-N3,799,22276.12
2026-02-03,BS-0101,T-N3,785,21885.8
2026-02-10,BS-0101,T-N3,685,19097.8
2026-02-17,BS-0101,T-N3,703,19599.64
2026-02-24,BS-0101,T-N3,760,21188.8
2026-03-03,BS-0101,T-N3,720,20073.6
2026-03-10,BS-0101,T-N3,821,22889.48
2026-03-17,BS-0101,T-N3,881,24562.28
2026-03-24,BS-0101,T-N3,828,23084.64
2026-03-31,BS-0101,T-N3,708,19739.04
2026-04-07,BS-0101,T-N3,647,18038.36
2026-04-14,BS-0101,T-N3,688,19181.44
2026-04-21,BS-0101,T-N3,669,18651.72
2026-04-28,BS-0101,T-N3,707,19711.16
2026-05-05,BS-0101,T-N3,799,22276.12
2026-05-12,BS-0101,T-N3,678,18902.64
2026-05-19,BS-0101,T-N3,735,20491.8
2026-05-26,BS-0101,T-N3,864,24088.32
2026-06-02,BS-0101,T-N3,825,23001.0
2026-06-09,BS-0101,T-N3,773,21551.24
2026-06-16,BS-0101,T-N3,732,20408.16
2026-06-23,BS-0101,T-N3,743,20714.84
2025-07-01,BS-0101,T-S1,884,24645.92
2025-07-08,BS-0101,T-S1,779,21718.52
2025-07-15,BS-0101,T-S1,845,23558.6
2025-07-22,BS-0101,T-S1,753,20993.64
2025-07-29,BS-0101,T-S1,899,25064.12
2025-08-05,BS-0101,T-S1,867,24171.96
2025-08-12,BS-0101,T-S1,930,25928.4
2025-08-19,BS-0101,T-S1,961,26792.68
2025-08-26,BS-0101,T-S1,752,20965.76
2025-09-02,BS-0101,T-S1,971,27071.48
2025-09-09,BS-0101,T-S1,1025,28577.0
2025-09-16,BS-0101,T-S1,804,22415.52
2025-09-23,BS-0101,T-S1,898,25036.24
2025-09-30,BS-0101,T-S1,853,23781.64
2025-10-07,BS-0101,T-S1,966,26932.08
2025-10-14,BS-0101,T-S1,1118,31169.84
2025-10-21,BS-0101,T-S1,1071,29859.48
2025-10-28,BS-0101,T-S1,1099,30640.12
2025-11-04,BS-0101,T-S1,919,25621.72
2025-11-11,BS-0101,T-S1,1141,31811.08
2025-11-18,BS-0101,T-S1,1158,32285.04
2025-11-25,BS-0101,T-S1,1090,30389.2
2025-12-02,BS-0101,T-S1,833,23224.04
2025-12-09,BS-0101,T-S1,833,23224.04
2025-12-16,BS-0101,T-S1,1010,28158.8
2025-12-23,BS-0101,T-S1,858,23921.04
2025-12-30,BS-0101,T-S1,810,22582.8
2026-01-06,BS-0101,T-S1,784,21857.92
2026-01-13,BS-0101,T-S1,954,26597.52
2026-01-20,BS-0101,T-S1,879,24506.52
2026-01-27,BS-0101,T-S1,921,25677.48
2026-02-03,BS-0101,T-S1,904,25203.52
2026-02-10,BS-0101,T-S1,883,24618.04
2026-02-17,BS-0101,T-S1,810,22582.8
2026-02-24,BS-0101,T-S1,908,25315.04
2026-03-03,BS-0101,T-S1,962,26820.56
2026-03-10,BS-0101,T-S1,838,23363.44
2026-03-17,BS-0101,T-S1,974,27155.12
2026-03-24,BS-0101,T-S1,912,25426.56
2026-03-31,BS-0101,T-S1,724,20185.12
2026-04-07,BS-0101,T-S1,752,20965.76
2026-04-14,BS-0101,T-S1,712,19850.56
2026-04-21,BS-0101,T-S1,962,26820.56
2026-04-28,BS-0101,T-S1,896,24980.48
2026-05-05,BS-0101,T-S1,912,25426.56
2026-05-12,BS-0101,T-S1,739,20603.32
2026-05-19,BS-0101,T-S1,977,27238.76
2026-05-26,BS-0101,T-S1,778,21690.64
2026-06-02,BS-0101,T-S1,781,21774.28
2026-06-09,BS-0101,T-S1,804,22415.52
2026-06-16,BS-0101,T-S1,341,9507.08
2026-06-23,BS-0101,T-S1,858,23921.04
2025-07-01,BS-0101,T-S2,437,12183.56
2025-07-08,BS-0101,T-S2,509,14190.92
2025-07-15,BS-0101,T-S2,469,13075.72
2025-07-22,BS-0101,T-S2,477,13298.76
2025-07-29,BS-0101,T-S2,553,15417.64
2025-08-05,BS-0101,T-S2,503,14023.64
2025-08-12,BS-0101,T-S2,534,14887.92
2025-08-19,BS-0101,T-S2,607,16923.16
2025-08-26,BS-0101,T-S2,522,14553.36
2025-09-02,BS-0101,T-S2,535,14915.8
2025-09-09,BS-0101,T-S2,520,14497.6
2025-09-16,BS-0101,T-S2,609,16978.92
2025-09-23,BS-0101,T-S2,545,15194.6
2025-09-30,BS-0101,T-S2,465,12964.2
2025-10-07,BS-0101,T-S2,657,18317.16
2025-10-14,BS-0101,T-S2,528,14720.64
2025-10-21,BS-0101,T-S2,536,14943.68
2025-10-28,BS-0101,T-S2,669,18651.72
2025-11-04,BS-0101,T-S2,588,16393.44
2025-11-11,BS-0101,T-S2,685,19097.8
2025-11-18,BS-0101,T-S2,651,18149.88
2025-11-25,BS-0101,T-S2,559,15584.92
2025-12-02,BS-0101,T-S2,567,15807.96
2025-12-09,BS-0101,T-S2,498,13884.24
2025-12-16,BS-0101,T-S2,602,16783.76
2025-12-23,BS-0101,T-S2,492,13716.96
2025-12-30,BS-0101,T-S2,542,15110.96
2026-01-06,BS-0101,T-S2,581,16198.28
2026-01-13,BS-0101,T-S2,518,14441.84
2026-01-20,BS-0101,T-S2,586,16337.68
2026-01-27,BS-0101,T-S2,590,16449.2
2026-02-03,BS-0101,T-S2,474,13215.12
2026-02-10,BS-0101,T-S2,475,13243.0
2026-02-17,BS-0101,T-S2,601,16755.88
2026-02-24,BS-0101,T-S2,616,17174.08
2026-03-03,BS-0101,T-S2,560,15612.8
2026-03-10,BS-0101,T-S2,548,15278.24
2026-03-17,BS-0101,T-S2,558,15557.04
2026-03-24,BS-0101,T-S2,626,17452.88
2026-03-31,BS-0101,T-S2,575,16031.0
2026-04-07,BS-0101,T-S2,490,13661.2
2026-04-14,BS-0101,T-S2,588,16393.44
2026-04-21,BS-0101,T-S2,483,13466.04
2026-04-28,BS-0101,T-S2,513,14302.44
2026-05-05,BS-0101,T-S2,539,15027.32
2026-05-12,BS-0101,T-S2,597,16644.36
2026-05-19,BS-0101,T-S2,487,13577.56
2026-05-26,BS-0101,T-S2,607,16923.16
2026-06-02,BS-0101,T-S2,483,13466.04
2026-06-09,BS-0101,T-S2,532,14832.16
2026-06-16,BS-0101,T-S2,569,15863.72
2026-06-23,BS-0101,T-S2,627,17480.76
2025-07-01,BS-0101,T-S3,717,19989.96
2025-07-08,BS-0101,T-S3,725,20213.0
2025-07-15,BS-0101,T-S3,898,25036.24
2025-07-22,BS-0101,T-S3,863,24060.44
2025-07-29,BS-0101,T-S3,751,20937.88
2025-08-05,BS-0101,T-S3,706,19683.28
2025-08-12,BS-0101,T-S3,763,21272.44
2025-08-19,BS-0101,T-S3,780,21746.4
2025-08-26,BS-0101,T-S3,937,26123.56
2025-09-02,BS-0101,T-S3,760,21188.8
2025-09-09,BS-0101,T-S3,939,26179.32
2025-09-16,BS-0101,T-S3,785,21885.8
2025-09-23,BS-0101,T-S3,744,20742.72
2025-09-30,BS-0101,T-S3,736,20519.68
2025-10-07,BS-0101,T-S3,976,27210.88
2025-10-14,BS-0101,T-S3,879,24506.52
2025-10-21,BS-0101,T-S3,920,25649.6
2025-10-28,BS-0101,T-S3,851,23725.88
2025-11-04,BS-0101,T-S3,1011,28186.68
2025-11-11,BS-0101,T-S3,1052,29329.76
2025-11-18,BS-0101,T-S3,1120,31225.6
2025-11-25,BS-0101,T-S3,998,27824.24
2025-12-02,BS-0101,T-S3,970,27043.6
2025-12-09,BS-0101,T-S3,788,21969.44
2025-12-16,BS-0101,T-S3,938,26151.44
2025-12-23,BS-0101,T-S3,907,25287.16
2025-12-30,BS-0101,T-S3,812,22638.56
2026-01-06,BS-0101,T-S3,908,25315.04
2026-01-13,BS-0101,T-S3,863,24060.44
2026-01-20,BS-0101,T-S3,696,19404.48
2026-01-27,BS-0101,T-S3,700,19516.0
2026-02-03,BS-0101,T-S3,940,26207.2
2026-02-10,BS-0101,T-S3,853,23781.64
2026-02-17,BS-0101,T-S3,825,23001.0
2026-02-24,BS-0101,T-S3,894,24924.72
2026-03-03,BS-0101,T-S3,728,20296.64
2026-03-10,BS-0101,T-S3,793,22108.84
2026-03-17,BS-0101,T-S3,954,26597.52
2026-03-24,BS-0101,T-S3,945,26346.6
2026-03-31,BS-0101,T-S3,856,23865.28
2026-04-07,BS-0101,T-S3,713,19878.44
2026-04-14,BS-0101,T-S3,680,18958.4
2026-04-21,BS-0101,T-S3,782,21802.16
2026-04-28,BS-0101,T-S3,732,20408.16
2026-05-05,BS-0101,T-S3,877,24450.76
2026-05-12,BS-0101,T-S3,927,25844.76
2026-05-19,BS-0101,T-S3,712,19850.56
2026-05-26,BS-0101,T-S3,750,20910.0
2026-06-02,BS-0101,T-S3,907,25287.16
2026-06-09,BS-0101,T-S3,781,21774.28
2026-06-16,BS-0101,T-S3,876,24422.88
2026-06-23,BS-0101,T-S3,957,26681.16
2025-07-01,BS-0101,T-E1,738,20575.44
2025-07-08,BS-0101,T-E1,802,22359.76
2025-07-15,BS-0101,T-E1,811,22610.68
