promo_id,sku,region,start_date,end_date,discount_pct,mechanic
PR-2025-056,BS-0306,West,01/07/2025,28/07/2025,8,Buy 2 Get 1
PR-2025-058,HC-0202,West,15/07/2025,04/08/2025,10,Price-off
PR-2025-021,SN-0108,North,22/07/2025,04/08/2025,20,Buy 2 Get 1
PR-2025-046,PC-0307,North,29/07/2025,18/08/2025,15,Combo pack
PR-2025-043,BV-0203,North,05/08/2025,18/08/2025,12,Price-off
PR-2025-047,PC-0207,West,19/08/2025,01/09/2025,10,Buy 2 Get 1
PR-2025-024,SN-0204,South,26/08/2025,22/09/2025,10,Extra 20% volume
PR-2025-025,BV-0105,North,02/09/2025,22/09/2025,15,Price-off
PR-2025-032,PC-0201,West,09/09/2025,22/09/2025,10,Buy 2 Get 1
PR-2025-035,BV-0202,North,23/09/2025,06/10/2025,10,Combo pack
PR-2025-026,BV-0206,North,30/09/2025,20/10/2025,15,Buy 2 Get 1
PR-2025-055,BV-0308,North,30/09/2025,13/10/2025,20,Extra 20% volume
PR-2025-049,BV-0104,North,07/10/2025,03/11/2025,15,Buy 2 Get 1
PR-2025-045,PC-0308,East,14/10/2025,03/11/2025,15,Extra 20% volume
PR-2025-030,BS-0104,West,28/10/2025,24/11/2025,12,Price-off
PR-2025-031,BV-0307,South,28/10/2025,17/11/2025,15,Extra 20% volume
PR-2025-011,SN-0103,North,04/11/2025,24/11/2025,15,Price-off
PR-2025-051,PC-0208,South,04/11/2025,17/11/2025,20,Price-off
PR-2025-041,BV-0108,North,23/12/2025,12/01/2026,8,Price-off
PR-2025-039,BS-0108,East,30/12/2025,19/01/2026,8,Extra 20% volume
PR-2025-057,SN-0206,West,30/12/2025,12/01/2026,12,Buy 2 Get 1
PR-2026-033,BV-0308,South,06/01/2026,26/01/2026,15,Extra 20% volume
PR-2026-054,SN-0201,East,20/01/2026,09/02/2026,20,Combo pack
PR-2026-022,SN-0206,East,10/02/2026,09/03/2026,12,Price-off
PR-2026-053,HC-0301,East,17/02/2026,09/03/2026,12,Combo pack
PR-2026-034,BV-0307,North,24/02/2026,16/03/2026,20,Buy 2 Get 1
PR-2026-023,PC-0105,West,03/03/2026,23/03/2026,15,Buy 2 Get 1
PR-2026-036,HC-0103,West,03/03/2026,23/03/2026,8,Combo pack
PR-2026-042,BS-0201,East,03/03/2026,30/03/2026,20,Extra 20% volume
PR-2026-038,PC-0101,North,10/03/2026,06/04/2026,12,Buy 2 Get 1
PR-2026-048,PC-0304,North,17/03/2026,30/03/2026,12,Buy 2 Get 1
PR-2026-027,HC-0208,West,24/03/2026,20/04/2026,10,Price-off
PR-2026-050,HC-0104,North,31/03/2026,27/04/2026,8,Price-off
PR-2026-052,HC-0102,South,31/03/2026,27/04/2026,10,Combo pack
PR-2026-037,BV-0201,East,28/04/2026,25/05/2026,15,Combo pack
PR-2026-005,BV-0104,West,05/05/2026,15/06/2026,12,Buy 2 Get 1
PR-2026-028,BS-0104,South,12/05/2026,08/06/2026,20,Extra 20% volume
PR-2026-029,SN-0104,West,12/05/2026,25/05/2026,15,Combo pack
PR-2026-044,SN-0208,East,12/05/2026,25/05/2026,12,Buy 2 Get 1
PR-2026-040,SN-0204,East,26/05/2026,08/06/2026,20,Price-off
