distributor_id,item_code,week_start,region,days_out_of_stock
D005,PC-0206,2025-07-01,North,5
D010,BV-0102,2025-07-01,North,4
D015,SN-0301,2025-07-01,South,3
D016,PC-0103,2025-07-01,South,4
D019,BV-0206,2025-07-01,South,5
D021,BS-0108,2025-07-01,SOUTH,5
D031,BV-0203,2025-07-01,East,2
D031,PC-0306,2025-07-01,East,4
D040,SN-0205,2025-07-01,West,2
D009,PC-0304,2025-07-08,North Region,3
D015,PC-0204,2025-07-08,South,1
D016,PC-0104,2025-07-08,south,2
D017,HC-0103,2025-07-08,South,4
D018,PC-0306,2025-07-08,South,3
D021,HC-0101,2025-07-08,SOUTH,3
D021,PC-0103,2025-07-08,South,5
D022,HC-0107,2025-07-08,South,5
D027,BS-0101,2025-07-08,East Region,3
D029,BS-0305,2025-07-08,East,5
D030,SN-0107,2025-07-08,East,1
D034,HC-0205,2025-07-08,West,3
D035,BS-0307,2025-07-08,West,3
D003,PC-0205,2025-07-15,North,4
D005,SN-0307,2025-07-15,North,3
D009,PC-0307,2025-07-15,North,1
D012,HC-0208,2025-07-15,North,3
D017,BV-0102,2025-07-15,South,1
D022,BV-0101,2025-07-15,South Region,5
D022,PC-0102,2025-07-15,South,5
D023,BV-0202,2025-07-15,East,4
D023,BV-0204,2025-07-15,East,4
D026,BS-0105,2025-07-15,East,1
D026,BS-0206,2025-07-15,East,5
D027,BV-0101,2025-07-15,East Region,1
D029,HC-0208,2025-07-15,East,4
D032,HC-0205,2025-07-15,West,5
D032,PC-0103,2025-07-15,West,2
D033,BS-0201,2025-07-15,West,4
D033,PC-0101,2025-07-15,West,3
D040,BV-0206,2025-07-15,West,5
D011,BS-0106,2025-07-22,North,1
D017,BS-0103,2025-07-22,south,2
D018,SN-0207,2025-07-22,South,4
D027,SN-0107,2025-07-22,East,2
D030,SN-0206,2025-07-22,East,4
D034,PC-0108,2025-07-22,West,3
D002,BS-0305,2025-07-29,North,1
D003,BV-0302,2025-07-29,North,4
D004,BV-0304,2025-07-29,North,2
D008,PC-0208,2025-07-29,north,1
D012,BV-0108,2025-07-29,North,4
D013,BS-0103,2025-07-29,south,4
D013,SN-0205,2025-07-29,SOUTH,5
D034,PC-0105,2025-07-29,West,5
D005,BV-0301,2025-08-05,North,1
D014,BS-0203,2025-08-05,south,2
D020,HC-0306,2025-08-05,South,5
D021,HC-0305,2025-08-05,South,5
D026,BV-0105,2025-08-05,East,3
D032,BS-0201,2025-08-05,West Region,5
D034,PC-0204,2025-08-05,West,2
D035,SN-0103,2025-08-05,West,3
D037,SN-0305,2025-08-05,West,2
D001,BS-0306,2025-08-12,NORTH,2
D003,BV-0206,2025-08-12,North,1
D007,SN-0208,2025-08-12,North,3
D014,BV-0104,2025-08-12,South,1
D016,PC-0306,2025-08-12,south,5
D017,HC-0103,2025-08-12,south,2
D027,HC-0203,2025-08-12,East,5
D033,BS-0101,2025-08-12,WEST,4
D033,BS-0201,2025-08-12,West,1
D035,SN-0206,2025-08-12,West,4
D001,BV-0108,2025-08-19,North,5
D002,SN-0102,2025-08-19,North,5
D008,HC-0106,2025-08-19,North,2
D012,SN-0108,2025-08-19,North,1
D015,BS-0305,2025-08-19,South,2
D026,HC-0203,2025-08-19,East,5
D038,PC-0305,2025-08-19,West,3
D001,BS-0108,2025-08-26,North,5
D001,PC-0103,2025-08-26,North,3
D003,PC-0105,2025-08-26,North,5
D007,HC-0304,2025-08-26,NORTH,3
D010,HC-0101,2025-08-26,north,1
D016,PC-0307,2025-08-26,south,4
D020,BS-0305,2025-08-26,South,4
D020,SN-0307,2025-08-26,south,4
D021,BS-0207,2025-08-26,South,1
D021,HC-0201,2025-08-26,south,5
D026,BS-0308,2025-08-26,east,3
D026,HC-0303,2025-08-26,East,5
D026,SN-0104,2025-08-26,East Region,1
D037,HC-0105,2025-08-26,WEST,3
D039,BS-0203,2025-08-26,West,2
D039,PC-0202,2025-08-26,West,2
D039,PC-0208,2025-08-26,West Region,3
D040,BV-0306,2025-08-26,WEST,5
D016,SN-0105,2025-09-02,South,4
D020,PC-0206,2025-09-02,South Region,3
D031,BS-0301,2025-09-02,East,2
D034,BS-0203,2025-09-02,West,2
D001,BV-0305,2025-09-09,north,2
D001,HC-0304,2025-09-09,North,3
D002,HC-0201,2025-09-09,North,1
D003,HC-0208,2025-09-09,north,1
D008,SN-0101,2025-09-09,North,4
D021,HC-0102,2025-09-09,South,5
D026,HC-0205,2025-09-09,East,3
D030,BV-0205,2025-09-09,East,2
D039,HC-0207,2025-09-09,west,1
D008,HC-0108,2025-09-16,North,3
D010,SN-0307,2025-09-16,North,5
D013,HC-0303,2025-09-16,south,4
D022,PC-0103,2025-09-16,South,5
D023,BV-0108,2025-09-16,EAST,5
D024,BS-0306,2025-09-16,East,4
D026,BV-0201,2025-09-16,east,3
D026,HC-0103,2025-09-16,East Region,1
D028,SN-0302,2025-09-16,East,3
D031,BV-0107,2025-09-16,East Region,3
D035,BS-0105,2025-09-16,West Region,3
D003,BV-0305,2025-09-23,North,2
D015,SN-0205,2025-09-23,South,1
D018,BV-0106,2025-09-23,South,3
D020,SN-0205,2025-09-23,South,2
D023,BS-0305,2025-09-23,EAST,2
D030,HC-0202,2025-09-23,East,3
D033,PC-0107,2025-09-23,west,4
D034,BV-0207,2025-09-23,West,3
D009,BV-0208,2025-09-30,North,5
D011,SN-0304,2025-09-30,North,5
D012,SN-0202,2025-09-30,North,1
D014,PC-0306,2025-09-30,South,2
D020,PC-0305,2025-09-30,south,4
D028,BV-0203,2025-09-30,East,4
D003,PC-0208,2025-10-07,NORTH,2
D009,HC-0107,2025-10-07,NORTH,4
D012,HC-0102,2025-10-07,North Region,1
D015,SN-0308,2025-10-07,South,2
D031,HC-0304,2025-10-07,East,2
D032,BV-0201,2025-10-07,West,5
D033,PC-0103,2025-10-07,West,4
D035,SN-0203,2025-10-07,west,1
D039,HC-0302,2025-10-07,West,5
D012,BV-0107,2025-10-14,north,1
D018,PC-0103,2025-10-14,South,4
D022,BS-0301,2025-10-14,South,4
D027,BS-0201,2025-10-14,East Region,5
D029,BV-0206,2025-10-14,East,5
D037,PC-0203,2025-10-14,West,4
D038,BS-0201,2025-10-14,West Region,5
D038,HC-0307,2025-10-14,west,4
D039,BS-0308,2025-10-14,West,4
D005,SN-0106,2025-10-21,North,4
D007,SN-0107,2025-10-21,North,1
D008,HC-0304,2025-10-21,North,4
D011,BV-0306,2025-10-21,NORTH,1
D016,BS-0106,2025-10-21,south,1
D020,BV-0305,2025-10-21,south,3
D029,SN-0207,2025-10-21,East,2
D031,HC-0206,2025-10-21,East,5
D032,PC-0306,2025-10-21,west,2
D037,HC-0106,2025-10-21,West,1
D039,SN-0105,2025-10-21,West,1
D001,BS-0304,2025-10-28,North,1
D001,HC-0205,2025-10-28,North,1
D004,BS-0303,2025-10-28,North,5
D006,HC-0102,2025-10-28,North,1
D007,BS-0307,2025-10-28,North,2
D010,PC-0307,2025-10-28,North,2
D013,SN-0101,2025-10-28,South,2
D032,PC-0105,2025-10-28,west,5
D001,BS-0302,2025-11-04,North,3
D001,PC-0208,2025-11-04,North,3
D010,SN-0206,2025-11-04,North,1
D011,SN-0306,2025-11-04,North Region,2
D012,PC-0105,2025-11-04,North,1
D014,SN-0303,2025-11-04,SOUTH,1
D018,BV-0302,2025-11-04,South,2
D023,SN-0201,2025-11-04,East,5
D024,BV-0303,2025-11-04,East,1
D030,SN-0202,2025-11-04,East,4
D032,HC-0206,2025-11-04,West,4
D035,HC-0108,2025-11-04,West,2
D004,BV-0108,2025-11-11,North,2
D004,HC-0307,2025-11-11,North,5
D004,PC-0201,2025-11-11,North,3
D009,BV-0308,2025-11-11,North,1
D010,PC-0108,2025-11-11,North,4
D014,PC-0205,2025-11-11,South,5
D014,SN-0108,2025-11-11,South,4
D017,HC-0304,2025-11-11,South,3
D034,PC-0308,2025-11-11,West,2
D035,BS-0102,2025-11-11,WEST,1
D035,SN-0303,2025-11-11,west,5
D037,BV-0305,2025-11-11,West Region,1
D002,BV-0103,2025-11-18,North,3
D005,PC-0201,2025-11-18,North,5
D005,SN-0107,2025-11-18,North,4
D011,SN-0301,2025-11-18,North,2
D016,SN-0302,2025-11-18,South,3
D019,SN-0305,2025-11-18,south,2
D022,PC-0305,2025-11-18,South,3
D032,SN-0305,2025-11-18,West,2
D036,SN-0107,2025-11-18,West,5
D039,BV-0306,2025-11-18,west,1
D001,SN-0107,2025-11-25,north,5
D005,HC-0301,2025-11-25,North,3
D006,BS-0302,2025-11-25,NORTH,1
D038,SN-0104,2025-11-25,West,2
D039,HC-0201,2025-11-25,West,5
D040,BS-0205,2025-11-25,West,2
D001,BS-0306,2025-12-02,North,1
D002,SN-0104,2025-12-02,North,1
D003,HC-0108,2025-12-02,North,5
D003,PC-0301,2025-12-02,North,3
D008,BV-0207,2025-12-02,North,5
D014,BS-0206,2025-12-02,South,3
D026,BV-0207,2025-12-02,East Region,2
D029,BS-0208,2025-12-02,East,5
D033,PC-0304,2025-12-02,West Region,4
D037,PC-0308,2025-12-02,West,2
D003,BV-0301,2025-12-09,North,3
D003,HC-0202,2025-12-09,North,4
D006,BV-0101,2025-12-09,North,1
D010,SN-0206,2025-12-09,north,3
D011,PC-0306,2025-12-09,North,2
D012,BS-0104,2025-12-09,North,3
D014,BV-0306,2025-12-09,South,3
D014,SN-0105,2025-12-09,South,4
D016,HC-0105,2025-12-09,South,4
D020,BV-0305,2025-12-09,south,4
D022,BS-0304,2025-12-09,South,5
D005,BS-0108,2025-12-16,North,4
D010,PC-0301,2025-12-16,North Region,2
D014,BV-0105,2025-12-16,SOUTH,5
D015,SN-0102,2025-12-16,South,1
D017,BS-0103,2025-12-16,South,3
D034,BS-0103,2025-12-16,West,4
D009,HC-0305,2025-12-23,North,4
D017,PC-0205,2025-12-23,South,3
